resource,license_or_terms,commercial_use,production_deployment,derivative_model_rights,redistribution,attribution_or_notice,privacy_or_consent,classification,primary_url
DermNet website images,Website image licence,no,no,no,no,required for permitted uses,AI training expressly prohibited,rejected,https://dermnetnz.org/image-licence
DermNet licensed AI dataset,Custom paid contract,rights_unverified,rights_unverified,rights_unverified,rights_unverified,contractual,claimed deidentified but verify consent and DPA,rights_unverified,https://dermnetnz.org/dermatology-image-dataset
ACNE04,Academic-use statement,rights_unverified,rights_unverified,rights_unverified,rights_unverified,citation expected,consent provenance unverified,rights_unverified,https://github.com/xpwu95/LDL
AcneSCU,Non-commercial dataset restriction,no,no,rights_unverified,rights_unverified,citation expected,consent provenance unverified,rejected,https://github.com/pingguokiller/acnedetection
SCIN,SCIN Data Use License,not expressly prohibited,rights_unverified,rights_unverified,allowed subject to licence,retain notices and modification indicators,re-identification prohibited; personality rights not licensed,rights_unverified,https://github.com/google-research-datasets/scin/blob/main/LICENSE
DDI free access,Stanford research use agreement,no,no,derivative works prohibited,redistribution prohibited,terms apply,re-identification prohibited,rejected,https://ddi-dataset.github.io/index.html
Stanford AIMI commercial,Custom annual commercial agreement,rights_unverified,rights_unverified,rights_unverified,rights_unverified,contractual,clinical data terms require review,rights_unverified,https://aimi.stanford.edu/datasets-commercial-use
DINOv2 standard,Apache-2.0,yes,yes,yes,yes,Apache notice,not a medical validation grant,evaluation_candidate,https://github.com/facebookresearch/dinov2
MedSigLIP,HAI-DEF terms,yes subject to terms,yes subject to terms,yes subject to terms,yes subject to distribution conditions,agreement and Notice obligations,sensitive data requires all rights and consents,needs_owner_legal_approval,https://developers.google.com/health-ai-developer-foundations/terms
TorchVision architecture,BSD-3-Clause code,yes,yes,yes for code,yes for code,retain notice,n/a,approved_architecture_only,https://github.com/pytorch/vision
TorchVision pretrained weights,checkpoint and upstream rights,rights_unverified,rights_unverified,rights_unverified,rights_unverified,rights_unverified,training-data provenance separate,rights_unverified,https://docs.pytorch.org/vision/master/models/mobilenetv3.html
CSDR GSK trial,Sponsor DUA,rights_unverified,rights_unverified,rights_unverified,no public grant,agreement-specific,controlled participant data,rights_unverified,https://clinicalstudydatarequest.com/Posting.aspx?ID=8
Acne-ID future IPD,Future NCTU DUA,rights_unverified,rights_unverified,rights_unverified,no public grant,agreement-specific,pseudo-anonymised planned,rights_unverified,https://www.isrctn.com/ISRCTN45540647
